Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,1698.006922,2192.66598,2411.859496,2449.301908,2819.689466,3612.159514,4066.842029,4076.352838,4483.236888,4351.374605,4492.727604,4981.198619,5196.932921,5693.377763,6639.963052,7976.066768,8999.739627,11247.55148,13906.2182,11440.57813,12597.45879,13891.14169,13142.04599,13776.45476,14337.20637,12494.46619
Poland,POL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0,-7.344791014,2.201065866,3.474682774,5.070855515,6.806798924,6.158127132,7.016209745,4.944106255,4.532877364,5.35433075,1.233225085,1.490497627,3.632453703,5.197191525,3.592575665,6.260005792,7.259915125,3.906208226,2.564656682,3.995464324,4.952064163,1.561949531,1.325847007,3.359870098,3.683108423
Poland,POL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0,-7.015578811,2.514978626,3.738310309,5.292802059,6.95185663,6.238916786,7.086280531,4.981633946,4.524198618,4.259803397,1.2053016,1.443499193,3.562532958,5.135655776,3.547057816,6.192689548,7.201683419,3.920379277,2.634181356,3.698867548,5.008511757,1.561706721,1.264705163,3.282538076,3.649719131
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,64712371654,83861126240,92527774558,94203600000,1.09E+11,1.39E+11,1.57E+11,1.58E+11,1.73E+11,1.68E+11,1.72E+11,1.91E+11,1.99E+11,2.18E+11,2.54E+11,3.04E+11,3.43E+11,4.29E+11,5.30E+11,4.36E+11,4.79E+11,5.29E+11,5.00E+11,5.24E+11,5.45E+11,4.75E+11
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,22219.57253,23269.3818,26333.53744,25488.51952,27087.55845,31729.69976,30564.24781,27045.71913,27340.67288,26795.99113,23718.7467,23687.31689,25205.16445,30359.95215,34165.93403,34696.62092,36447.87232,41814.8191,45699.19832,41732.70725,41788.04479,45936.08126,44010.93139,45600.77451,47767.00191,41219.04921
Germany,DEU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.351639058,4.345220042,1.151771251,-1.605135305,2.102607232,1.439068158,0.526477107,1.700290726,1.964176139,1.921237294,2.822696604,1.524537695,-0.167987063,-0.764861234,1.191936522,0.763909706,3.817196752,3.39870617,1.274699038,-5.37941105,4.239504345,3.633713107,2.11781505,-1.786599833,3.042865391,1.149833864
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.255006086,5.108261508,1.923807011,-0.956165307,2.45737182,1.737640631,0.817897617,1.84920067,1.979618407,1.987134949,2.962045368,1.695471452,0,-0.709906172,1.169970413,0.706713948,3.700159572,3.260535297,1.082315404,-5.618860435,4.079933305,3.660000155,0.405170675,0.297847586,1.599770392,1.687723781
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1.76E+12,1.86E+12,2.12E+12,2.07E+12,2.21E+12,2.59E+12,2.50E+12,2.22E+12,2.24E+12,2.20E+12,1.95E+12,1.95E+12,2.08E+12,2.51E+12,2.82E+12,2.86E+12,3.00E+12,3.44E+12,3.75E+12,3.42E+12,3.42E+12,3.76E+12,3.54E+12,3.75E+12,3.87E+12,3.36E+12
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,1704.740304,1747.438671,1666.227513,1590.035409,1460.017544,1370.67271,1452.447002,1396.502166,1511.770268,1209.614881,1273.049124,1244.441997,1479.465321,1819.479028,2378.374894,3126.367778,3848.586203,4735.956889,6376.173115,5176.044701,5818.854859,6305.773662,6721.834908,7722.123351,8025.304356,5740.456495
Belarus,BLR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0,-1.248459878,-9.79467502,-7.807559332,-11.5963919,-10.10994703,3.144015748,11.87348028,8.916754395,3.750333832,6.117241379,5.53753894,5.716108863,7.786168801,12.21717692,10.1585429,10.6757601,9.099832636,10.57010915,0.42133165,7.933783669,5.733117467,1.828134939,1.05224572,1.540728894,-4.190796268
